ENSG_ID	c_12h_rep2	c_12h_rep1	c_24h_rep2	c_24h_rep1	t_12h_rep1	t_12h_rep2	t_24h_rep1	t_24h_rep2
ENSG00000152894	9.995043344	9.916743666	10.00082067	10.00363663	9.770386366	9.722858365	9.773421704	9.890391194
ENSG00000152904	6.474768584	6.500230327	6.462080152	6.520985862	6.482299689	6.545371772	6.52067197	6.494648849
ENSG00000152910	2.481651909	2.821435356	2.5606369	2.652583113	2.570880517	2.572743339	2.622179453	2.622179453
ENSG00000152926	3.783647725	3.713763289	4.148500924	4.107912326	3.82871867	3.729209169	3.797073405	3.86205301
ENSG00000152931	4.813815737	4.794373024	4.708999533	4.750250164	4.74865351	4.660202538	4.720813661	4.741638871
ENSG00000152932	2.81729755	3.058723616	2.918913754	2.868145642	2.687484204	3.044338828	2.892948168	2.685144109
ENSG00000152936	4.901546439	5.250526909	4.65677928	4.481161309	4.676645627	4.928663125	4.60740163	4.509711851
ENSG00000152939	8.267363361	8.13160326	8.342659548	8.38668133	8.236405499	8.268792105	8.318975658	8.333550341
ENSG00000152942	7.718770341	7.680706708	7.55472359	7.679146573	7.734921017	7.795732172	7.800873845	7.80070722
ENSG00000152944	8.535380047	8.477685579	8.783779308	8.808606824	8.461399159	8.498309841	8.818310784	8.834690364
ENSG00000152952	8.504124141	8.345326074	8.586766164	8.715377952	8.948885564	9.011447729	8.89771195	8.906505001
ENSG00000152953	4.243686029	4.03547014	4.04489864	3.842662904	4.158033936	4.494056736	3.973170852	3.960173312
ENSG00000152954	3.673994855	3.618358125	3.473718805	3.484882462	3.487414724	3.534577527	3.680093282	3.719885136
ENSG00000152969	3.483185807	3.315219412	3.2278362	3.091806063	3.392225367	3.265384395	3.417445578	3.34128469
ENSG00000152977	3.19871018	3.150842695	3.122958452	3.223858202	3.064964627	3.094805038	3.005693216	3.252854135
ENSG00000152990	5.848608333	5.82944835	5.873585592	5.847009305	6.005154448	6.073215839	6.096135849	6.074403229
